RF-CAT,SEXO,IDA-MÉD,TC,NC,TO,ME,TURNO,ANO,AE
ND,M,22.0,TÉC,SJ,SUB,P,VES,2017,1
ND,M,27.0,FIC,ADS,CON,P,INT,2017,0
ND,M,27.0,FIC,ADS,CON,P,INT,2017,0
ND,M,27.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,27.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,27.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,27.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,27.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,27.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,27.0,FIC,POP,CON,P,NOT,2017,0
ND,M,27.0,FIC,POP,CON,P,NOT,2017,0
ND,M,27.0,FIC,POP,CON,P,NOT,2017,1
ND,M,27.0,FIC,POP,CON,P,NOT,2017,1
ND,M,27.0,FIC,DES,CON,P,VES,2017,0
ND,M,27.0,FIC,DES,CON,P,VES,2017,0
ND,M,27.0,FIC,DES,CON,P,VES,2017,0
ND,M,27.0,FIC,DES,CON,P,VES,2017,0
ND,M,27.0,FIC,DES,CON,P,NOT,2017,0
ND,M,27.0,FIC,DES,CON,P,NOT,2017,0
ND,M,27.0,FIC,DES,CON,P,NOT,2017,0
ND,M,27.0,FIC,DES,CON,P,NOT,2017,0
ND,M,27.0,TÉC,GT,SUB,P,VES,2017,0
ND,M,32.0,FIC,CTUCAL,CON,P,INT,2017,1
ND,M,32.0,FIC,CTUCAL,CON,P,INT,2017,1
ND,M,32.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,32.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,32.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,32.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,32.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,32.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,32.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,32.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,32.0,FIC,MFC,CON,P,NOT,2017,1
ND,M,32.0,FIC,PEP,CON,P,NOT,2017,0
ND,M,32.0,FIC,PEP,CON,P,NOT,2017,0
ND,M,32.0,FIC,POP,CON,P,NOT,2017,0
ND,M,32.0,FIC,POP,CON,P,NOT,2017,0
ND,M,32.0,FIC,POP,CON,P,NOT,2017,0
ND,M,32.0,FIC,POP,CON,P,NOT,2017,1
ND,M,32.0,FIC,POP,CON,P,NOT,2017,1
ND,M,32.0,FIC,DES,CON,P,NOT,2017,0
ND,M,32.0,FIC,DES,CON,P,NOT,2017,0
ND,M,32.0,FIC,DES,CON,P,NOT,2017,0
ND,M,32.0,FIC,DES,CON,P,NOT,2017,0
ND,M,32.0,FIC,DES,CON,P,NOT,2017,0
ND,M,32.0,FIC,DES,CON,P,VES,2017,0
ND,M,32.0,FIC,DES,CON,P,VES,2017,0
