CR,RF,RF-CAT,SEXO,IDA-MÉD,TC,NC,TO,ME,TURNO,TC-NC-TO,NC-ME,NC-TURNO,ANO,AE
PAR,0.5,"0,5",M,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,NÃO
PAR,0.5,"0,5",M,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
PAR,0.5,"0,5",M,27.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,NÃO
PAR,0.5,"0,5",M,27.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
PAR,0.5,"0,5",M,27.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,NÃO
PAR,0.5,"0,5",M,32.0,FIC,DES,CON,P,NOT,FIC-DES-CON,DES-P,DES-NOT,2017,SIM
PAR,0.5,"0,5",M,32.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
PAR,0.5,"0,5",M,32.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
PAR,0.5,"0,5",M,37.0,FIC,DES,CON,P,VES,FIC-DES-CON,DES-P,DES-VES,2017,NÃO
PAR,0.5,"0,5",M,37.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,NÃO
PAR,0.5,"0,5",M,37.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
PAR,0.5,"0,5",M,37.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
PAR,0.5,"0,5",M,42.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,NÃO
PAR,0.5,"0,5",M,47.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
PAR,0.5,"0,5",M,52.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
PAR,0.5,"0,5",M,52.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
PAR,1.0,1,F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
PAR,1.0,1,F,32.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
PAR,1.0,1,M,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
PAR,1.0,1,M,22.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
PAR,1.0,1,M,32.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
PAR,1.0,1,M,42.0,FIC,MFC,CON,P,NOT,FIC-MFC-CON,MFC-P,MFC-NOT,2017,NÃO
PAR,1.0,1,M,42.0,FIC,DES,CON,P,VES,FIC-DES-CON,DES-P,DES-VES,2017,NÃO
PAR,1.0,1,M,42.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,NÃO
PAR,1.0,1,M,52.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
PAR,1.5,"1,5",M,22.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
PAR,1.5,"1,5",M,37.0,FIC,CTUCAL,CON,P,INT,FIC-CTUCAL-CON,CTUCAL-P,CTUCAL-INT,2017,SIM
PAR,1.5,"1,5",M,37.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
PAR,1.5,"1,5",M,42.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
PAR,2.5,"2,5",F,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
PAR,5.0,5,M,42.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
PAR,,ND,F,17.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
PAR,,ND,F,17.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
PAR,,ND,F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
PAR,,ND,F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
PAR,,ND,F,22.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
PAR,,ND,F,22.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,SIM
PAR,,ND,F,22.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
PAR,,ND,F,22.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
PAR,,ND,F,22.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
PAR,,ND,F,22.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
PAR,,ND,F,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
PAR,,ND,F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
PAR,,ND,F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
PAR,,ND,F,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
PAR,,ND,F,27.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
PAR,,ND,F,27.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
PAR,,ND,F,32.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,SIM
PAR,,ND,F,32.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
PAR,,ND,F,32.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
PAR,,ND,F,32.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
